PERIOD,PRD_NBR,DC_NBR,warehouse_receipts
1,122186311,17,484
1,122186311,14,180
1,122186311,18,814
1,122186321,17,351
1,122186321,14,130
1,122186321,18,465
2,122186331,14,632
1,122186331,18,1370
1,122186331,17,1500
2,122186331,18,45
2,122186331,17,79
1,122186331,14,1928
2,122186341,18,9
1,122186341,17,1520
1,122186341,18,1981
1,122186341,14,1726
2,122186341,14,386
2,122186341,17,103
4,122186351,18,1094
4,122186351,17,1429
1,122186351,17,948
2,122186351,17,10
4,122186351,14,678
1,122186351,14,1558
2,122186351,14,206
1,122186351,18,1682
1,122186371,18,1641
1,122186371,14,1212
2,122186371,14,879
1,122186371,17,1784
2,122186371,17,100
2,122186371,18,92
2,122186431,18,68
4,122186431,18,11685
4,122186431,17,14730
1,122186431,18,1411
2,122186431,17,94
2,122186431,14,257
1,122186431,14,1610
4,122186431,14,7960
1,122186431,17,1622
1,122264101,14,624
1,122264101,17,666
1,122264101,18,744
1,122264111,18,0
1,122335001,17,0
1,122335001,14,0
1,122335011,17,0
1,122335011,18,0
1,122335011,14,92
1,122772001,18,70
1,122772001,17,20
4,122772001,18,1727
3,122772001,14,131
4,122772001,17,449
4,122772001,14,499
3,122772011,14,240
4,122772011,14,415
1,122772011,17,14
4,122772011,17,486
1,122772011,18,0
4,122772011,18,2386
1,122772011,14,4
4,122772021,14,231
1,122772021,14,116
1,122772021,17,56
4,122772021,18,1332
4,122772021,17,171
1,122772071,14,6
4,122772071,14,154
4,122772071,18,1188
1,122772071,18,8
3,122772071,14,218
4,122772071,17,459
1,123035011,18,2918
1,123035011,14,1412
1,123035011,17,2724
4,123066001,17,10670
4,123066001,18,10807
1,123066001,17,0
1,123066001,18,0
4,123066001,14,10276
1,123066001,14,0
1,123196001,17,282
2,123196001,17,668
1,123196001,14,548
1,123196011,14,231
1,123196011,17,122
2,123196011,17,514
1,123243011,18,0
1,123243011,14,79
4,123243011,18,6486
1,123243011,17,719
4,123243011,17,7160
4,123243011,14,3963
1,123243091,14,0
1,123243091,18,0
1,123243091,17,56
1,123243271,18,170
1,123243271,17,26
1,123243271,14,0
1,123243331,17,621
1,123243331,14,156
1,123243331,18,26
1,123243371,14,55
1,123243371,18,138
1,123243371,17,265
1,123243401,18,0
1,123243401,17,1308
1,123243401,14,44
1,123243411,14,0
1,123243411,17,0
1,123243431,14,0
1,123243431,17,0
1,123243441,18,0
1,123243441,14,0
1,123243441,17,0
1,123279111,17,0
1,123279111,18,0
1,123279111,14,0
1,123279131,14,0
1,123279131,17,0
1,123279131,18,0
1,123279161,14,0
1,123279161,17,0
1,123279161,18,0
1,123279171,18,19
1,123279171,17,0
1,123279171,14,398
1,123279181,18,0
1,123279181,14,15
1,123279181,17,0
1,123552001,18,0
1,123761021,17,0
4,123761021,17,804
1,123761021,14,232
4,123761021,14,42
1,123761031,14,70
4,123761031,14,112
1,123761031,17,221
4,123761031,17,1228
1,123761041,14,43
4,123761041,17,762
1,123761041,17,742
4,123761041,14,68
1,123761051,14,121
1,123761051,17,0
2,123762011,18,400
2,123762011,17,400
1,123762011,17,0
1,123762011,18,0
1,123762011,14,0
2,123762011,14,210
1,123762031,17,0
1,123786121,17,2
1,123786121,18,0
1,123786121,14,0
1,123786131,18,0
1,123786131,17,2
1,123786131,14,7
1,123789001,17,220
1,123789001,18,210
4,123789001,18,5999
4,123789001,17,5337
