PGM_GRP_ID_S,PRD_NBR,PRC_STR_GRP_ID_S,ELAS_IDX_RAT
5000063,123066001,663,-1.2795
5000063,123066001,669,-1.2795
68952,143846141,684,-1.32599
68952,143846141,686,-1.34134
68952,143846151,687,-1.28243
71184,119590001,698,-1.2302
71184,119590001,718,-1.2302
72516,122157001,543,-1.2776
72516,122157001,554,-1.2776
5000063,123066001,706,-1.28069
70298,123196001,700,-2.49155
70298,123196001,694,-2.25485
70298,123196011,733,-2.34054
85,123243011,711,-1.22936
68952,143846151,713,-1.47563
68952,143846151,731,-1.2767
68952,143846151,733,-1.39957
68952,143846161,686,-1.32953
68952,143846161,713,-1.47563
70314,144007001,677,-1.7328
68790,119601001,715,-1.8171
68790,119601001,736,-1.8171
68790,119601001,737,-1.81222
68790,119601181,703,-1.81309
69694,122186021,700,-1.09255
69694,122186021,681,-1.02026
85,123243091,726,-1.32423
85,123243091,745,-1.21533
70314,144007001,718,-1.7328
70314,144007001,735,-1.7328
70314,144007001,736,-1.7328
70314,144007001,737,-1.72922
1520,144036021,744,-1.5731
68790,119601211,704,-1.8171
68790,119601211,705,-1.8171
69694,122186231,678,-1.03885
85,123243331,742,-1.15394
85,123243371,702,-1.13906
85,123243371,711,-1.22936
1513,144038211,726,-1.38252
1513,144038221,702,-1.35626
68790,119601211,735,-1.8171
68790,119601271,691,-1.8171
69694,122186241,713,-1.0478
69694,122186251,681,-1.02026
69694,122186251,686,-0.94263
69694,122186251,693,-0.99548
69694,122186251,694,-0.93659
69694,122186261,684,-0.92355
69694,122186261,694,-0.93659
85,123243371,724,-1.25003
85,123243401,720,-1.36212
85,123243401,726,-1.32423
85,123243401,729,-1.32362
85,123243401,732,-1.46974
85,123243411,702,-1.13906
85,123243411,742,-1.15394
1513,144038221,732,-1.39948
1513,144038221,744,-1.37624
69247,119729001,708,-1.0794
69247,119729001,735,-1.0794
69694,122186281,678,-0.89085
69694,122186281,681,-0.89586
85,123243431,732,-1.17583
85,123243441,724,-1.25003
1513,144038251,716,-1.04385
1513,144038251,742,-1.00208
70275,119757001,688,-1.0919
70275,119757001,708,-1.10264
70275,119757001,735,-1.0919
70275,119757001,737,-1.0919
69694,122186281,731,-0.9341
72477,123279131,728,-1.09463
72477,123279161,710,-1.09291
72477,123279161,719,-1.09255
1513,144038271,716,-1.58459
1513,144038271,724,-1.59972
1513,144038271,744,-1.5731
70243,119792051,693,-1.11589
70243,119792061,686,-1.09746
70243,119792061,693,-1.11589
69694,122186311,664,-0.92278
69694,122186311,680,-0.91994
69694,122186321,664,-0.92278
72477,123279171,710,-0.9367
72477,123279181,710,-0.9367
1513,144038281,716,-1.58459
1513,144038281,732,-1.57504
1513,144038291,716,-1.58459
1513,144038291,720,-1.58296
1513,144038291,742,-1.60392
1513,144038301,716,-1.58459
1513,144038301,724,-1.59972
1513,144038301,732,-1.57504
1513,144038301,742,-1.60392
70243,119792061,694,-1.09536
70243,119792061,713,-1.13413
70243,119792061,731,-1.0842
70243,119792101,713,-1.13413
70534,119794011,700,-1.14974
70534,119794011,694,-1.09536
72481,123552001,723,-1.057
72481,123552001,725,-1.12306
72481,123552001,739,-0.9955
70323,123761031,705,-1.7328
1513,144038311,702,-1.61551
1513,144038321,716,-1.58459
1513,144038321,730,-1.61884
70534,119794101,700,-1.14974
70534,119794101,681,-1.12453
70534,119794101,687,-1.09486
72841,145969041,571,-1.4848
72841,145969051,541,-1.4848
72841,145969051,546,-1.4848
72841,145969051,547,-1.4848
72841,145969051,555,-1.4848
10016,148073051,657,-1.7573
10016,148073051,675,-1.7573
10016,148073081,668,-1.7573
10016,148073081,669,-1.7573
72586,146806221,742,-1.19106
72586,146811021,702,-1.89381
72586,146811021,720,-1.80222
10070,146971151,671,-1.0871
10070,146971151,706,-1.08932
10070,146971151,727,-1.0871
5000069,147005021,713,-1.34603
5000069,147005031,700,-1.21864
5000069,147005031,672,-1.7537
69244,146527031,733,-1.4552
69244,146527061,684,-1.36005
10016,148073081,727,-1.7573
71145,148077021,662,-1.7573
71145,148077021,671,-1.7573
71145,148077021,676,-1.7573
71145,148077021,689,-1.7573
71145,148077021,727,-1.7573
71145,148077041,663,-1.7573
71145,148077041,669,-1.7573
72586,146811021,730,-1.90385
72586,146811031,720,-1.80222
72586,146811031,724,-1.84866
72586,146811031,726,-1.8231
72586,146811041,702,-1.89381
72586,146811041,711,-1.85904
10070,147032001,667,-1.0871
10070,147032001,668,-1.0871
10070,147032001,676,-1.0871
10070,147032001,706,-1.08932
