PRD_NBR,PERIOD,prc_lb,prc_ub
119570121,2,6.78,16.94
119570121,3,6.78,16.94
119570121,4,6.78,16.94
119570121,99,2.54,14.4
119570131,1,6.78,16.94
119570131,2,6.78,16.94
119570141,1,6.78,16.94
119570141,2,6.78,16.94
119570151,1,6.78,16.94
119570151,2,6.78,16.94
119570151,99,2.54,14.4
119570161,1,6.78,16.94
119570161,2,6.78,16.94
119570161,99,2.54,14.4
119570171,1,6.78,16.94
119570171,2,6.78,16.94
119570171,3,6.78,16.94
119570171,4,6.78,16.94
119570171,99,2.54,14.4
119570181,1,6.78,16.94
119570181,2,6.78,16.94
119570181,3,6.78,16.94
119570181,4,6.78,16.94
119570191,1,6.78,16.94
119570191,2,6.78,16.94
119570191,3,6.78,16.94
119570191,4,6.78,16.94
119571091,1,7.98,19.94
119571091,2,7.98,19.94
119571091,3,7.98,19.94
119571091,4,7.98,19.94
119571091,99,2.99,16.95
119571121,1,7.98,19.94
119571121,2,7.98,19.94
119571121,99,2.99,16.95
119590001,1,13.98,34.94
119590001,2,13.98,34.94
119590001,3,13.98,34.94
119590001,4,13.98,34.94
119601001,1,6,15
119601001,2,6,15
119601001,3,6,15
119601001,4,6,15
119601181,1,6,15
119601181,2,6,15
119601181,3,6,15
119601181,4,6,15
119601181,99,2.25,12.75
119601191,1,6,15
119601191,2,6,15
119601191,99,2.25,12.75
119601201,1,6,15
119601201,2,6,15
119601201,3,6,15
119601201,4,6,15
119601201,99,2.25,12.75
119601211,1,6,15
119601211,2,6,15
119601211,99,2.25,12.75
119601221,1,6,15
119601221,2,6,15
119601221,99,2.25,12.75
119601231,1,6,15
119601231,2,6,15
119601231,3,6,15
119601231,4,6,15
119601231,99,2.25,12.75
119601241,1,6,15
119601241,2,6,15
119601241,3,6,15
119601241,4,6,15
119601241,99,2.25,12.75
119601261,1,6,15
119601261,2,6,15
119601261,3,6,15
119601261,4,6,15
119601261,99,2.25,12.75
119601271,1,6,15
119601271,2,6,15
119601271,3,6,15
119601271,4,6,15
119601271,99,2.25,12.75
119729001,1,11.98,29.94
119729001,2,11.98,29.94
119729001,99,4.49,25.45
119757001,1,13.8,34.5
119757001,2,13.8,34.5
119757001,99,5.18,29.33
119792051,1,13.98,34.94
119792051,2,13.98,34.94
119792051,3,13.98,34.94
119792051,4,13.98,34.94
119792051,99,5.24,29.7
119792061,1,13.98,34.94
119792061,2,13.98,34.94
119792061,3,13.98,34.94
119792061,4,13.98,34.94
119792061,99,5.24,29.7
119792101,1,13.98,34.94
119792101,2,13.98,34.94
119792101,3,13.98,34.94
119792101,4,13.98,34.94
119792101,99,5.24,29.7
119794011,1,13.98,34.94
119794011,2,13.98,34.94
119794011,3,13.98,34.94
119794011,4,13.98,34.94
119794101,1,13.98,34.94
119794101,2,13.98,34.94
119794101,3,13.98,34.94
119794101,4,13.98,34.94
119794101,99,5.24,29.7
119794191,1,13.98,34.94
119794191,2,13.98,34.94
119794191,3,13.98,34.94
119794191,4,13.98,34.94
119794191,99,5.24,29.7
119794261,1,13.98,34.94
119794261,2,13.98,34.94
119794261,3,13.98,34.94
119794261,4,13.98,34.94
119794271,1,13.98,34.94
119794271,2,13.98,34.94
119794271,3,13.98,34.94
119794271,4,13.98,34.94
119794281,1,13.98,34.94
119794281,2,13.98,34.94
119794281,3,13.98,34.94
119794281,4,13.98,34.94
119794291,1,13.98,34.94
119794291,2,13.98,34.94
119794291,3,13.98,34.94
119794291,4,13.98,34.94
119794301,1,13.98,34.94
119794301,2,13.98,34.94
119794301,3,13.98,34.94
119794301,4,13.98,34.94
119795001,1,13.98,34.94
119795001,2,13.98,34.94
119795001,3,13.98,34.94
119795001,4,13.98,34.94
119795011,1,13.98,34.94
119795011,2,13.98,34.94
119795011,3,13.98,34.94
119795011,4,13.98,34.94
119795081,1,13.98,34.94
119795081,2,13.98,34.94
119795091,1,13.98,34.94
119795091,2,13.98,34.94
119795091,3,13.98,34.94
119795091,4,13.98,34.94
119795101,1,13.98,34.94
119795101,2,13.98,34.94
119795101,3,13.98,34.94
119795101,4,13.98,34.94
119795111,1,13.98,34.94
119795111,2,13.98,34.94
119795111,3,13.98,34.94
119795111,4,13.98,34.94
120536001,1,5.98,14.94
120536001,2,5.98,14.94
120536001,3,5.98,14.94
120536001,4,5.98,14.94
120549001,1,5.98,14.94
120549001,2,5.98,14.94
120549001,3,5.98,14.94
120549001,4,5.98,14.94
120556001,1,5.98,14.94
120556001,2,5.98,14.94
120556001,3,5.98,14.94
120556001,4,5.98,14.94
121354001,1,8,20
121354001,2,8,20
121354001,3,8,20
121354001,4,8,20
121811001,1,6.78,16.94
121811001,2,6.78,16.94
121811001,3,6.78,16.94
121811001,4,6.78,16.94
121811011,1,6.78,16.94
121811011,2,6.78,16.94
121811011,3,6.78,16.94
121811011,4,6.78,16.94
121811021,1,6.78,16.94
121811021,2,6.78,16.94
121811021,3,6.78,16.94
121811021,4,6.78,16.94
121811041,1,6.78,16.94
121811041,2,6.78,16.94
121811041,3,6.78,16.94
121811041,4,6.78,16.94
121811111,1,6.78,16.94
121811111,2,6.78,16.94
121811111,3,6.78,16.94
121811111,4,6.78,16.94
121909011,1,8,20
121909011,2,8,20
121909011,3,8,20
121909011,4,8,20
122019001,1,10.78,26.94
122019001,2,10.78,26.94
122019001,99,4.04,22.9
122019011,1,11.98,29.94
122019011,2,11.98,29.94
122019011,99,4.49,25.45
122019051,1,10.78,26.94
122019051,2,10.78,26.94
122019051,99,4.04,22.9
122157001,1,5.98,14.94
122157001,2,5.98,14.94
122157001,3,5.98,14.94
122157001,4,5.98,14.94
122186001,1,11.98,29.94
122186001,2,11.98,29.94
122186001,3,11.98,29.94
122186001,4,11.98,29.94
122186011,1,11.98,29.94
122186011,2,11.98,29.94
122186011,3,11.98,29.94
122186011,4,11.98,29.94
122186011,99,4.49,25.45
122186021,1,11.98,29.94
122186021,2,11.98,29.94
122186021,3,11.98,29.94
122186021,4,11.98,29.94
122186231,1,11.98,29.94
122186231,2,11.98,29.94
122186231,3,11.98,29.94
122186231,4,11.98,29.94
122186231,99,4.49,25.45
122186241,1,11.98,29.94
122186241,2,11.98,29.94
122186241,99,4.49,25.45
122186251,1,11.98,29.94
122186251,2,11.98,29.94
122186251,3,11.98,29.94
122186251,4,11.98,29.94
122186251,99,4.49,25.45
122186261,1,11.98,29.94
122186261,2,11.98,29.94
122186261,99,4.49,25.45
122186271,1,11.98,29.94
122186271,2,11.98,29.94
122186271,3,11.98,29.94
122186271,4,11.98,29.94
122186271,99,4.49,25.45
122186281,1,11.98,29.94
122186281,2,11.98,29.94
122186281,99,4.49,25.45
122186291,1,11.98,29.94
122186291,2,11.98,29.94
122186291,99,4.49,25.45
122186301,1,11.98,29.94
122186301,2,11.98,29.94
122186301,3,11.98,29.94
122186301,4,11.98,29.94
122186301,99,4.49,25.45
122186311,1,11.98,29.94
122186311,2,11.98,29.94
122186311,3,11.98,29.94
122186311,99,4.49,25.45
122186321,1,11.98,29.94
122186321,2,11.98,29.94
122186321,3,11.98,29.94
122186321,99,4.49,25.45
122186331,1,11.98,29.94
122186331,2,11.98,29.94
122186331,3,11.98,29.94
122186331,4,11.98,29.94
122186331,99,4.49,25.45
122186341,1,11.98,29.94
122186341,2,11.98,29.94
122186341,3,11.98,29.94
122186341,4,11.98,29.94
122186341,99,4.49,25.45
122186351,1,11.98,29.94
122186351,2,11.98,29.94
122186351,3,11.98,29.94
122186351,4,11.98,29.94
122186351,99,4.49,25.45
122186371,1,11.98,29.94
122186371,2,11.98,29.94
122186371,3,11.98,29.94
122186371,4,11.98,29.94
122186371,99,4.49,25.45
122186381,1,11.98,29.94
122186381,2,11.98,29.94
122186381,3,11.98,29.94
122186381,4,11.98,29.94
122186391,1,11.98,29.94
122186391,2,11.98,29.94
122186391,3,11.98,29.94
122186391,4,11.98,29.94
122186391,99,4.49,25.45
122186401,1,11.98,29.94
122186401,2,11.98,29.94
122186401,3,11.98,29.94
122186401,4,11.98,29.94
122186411,1,11.98,29.94
122186411,2,11.98,29.94
122186411,3,11.98,29.94
122186411,4,11.98,29.94
122186411,99,4.49,25.45
122186421,1,11.98,29.94
122186421,2,11.98,29.94
122186421,3,11.98,29.94
122186421,4,11.98,29.94
122186431,1,11.98,29.94
122186431,2,11.98,29.94
122186431,3,11.98,29.94
122186431,4,11.98,29.94
122186461,1,11.98,29.94
122186461,2,11.98,29.94
122186461,3,11.98,29.94
122186461,4,11.98,29.94
122186471,1,11.98,29.94
122186471,2,11.98,29.94
122186471,3,11.98,29.94
122186471,4,11.98,29.94
122186481,1,11.98,29.94
122186481,2,11.98,29.94
122186481,3,11.98,29.94
122186481,4,11.98,29.94
122186551,1,11.98,29.94
122186551,2,11.98,29.94
122186551,3,11.98,29.94
122186551,4,11.98,29.94
122264101,1,2.38,5.94
122264101,2,2.38,5.94
122264101,3,2.38,5.94
122264101,4,2.38,5.94
122264111,1,2.38,5.94
122264111,2,2.38,5.94
122264111,99,0.89,5.05
122335001,1,11.98,29.94
122335001,2,11.98,29.94
122335001,99,4.49,25.45
122335011,1,11.98,29.94
122335011,2,11.98,29.94
122335011,99,4.49,25.45
122610001,1,9.98,24.94
122610001,2,9.98,24.94
122610001,99,3.74,21.2
122772001,1,3.98,9.94
122772001,2,3.98,9.94
122772001,3,3.98,9.94
122772001,4,3.98,9.94
122772011,1,3.98,9.94
122772011,2,3.98,9.94
122772011,3,3.98,9.94
122772011,4,3.98,9.94
122772021,1,3.98,9.94
122772021,2,3.98,9.94
122772021,3,3.98,9.94
122772021,4,3.98,9.94
122772071,1,3.98,9.94
122772071,2,3.98,9.94
122772071,3,3.98,9.94
122772071,4,3.98,9.94
123035011,1,5.98,14.94
123035011,2,5.98,14.94
123035011,3,5.98,14.94
123035011,4,5.98,14.94
123035011,99,2.24,12.7
123066001,1,5.18,12.94
123066001,2,5.18,12.94
123066001,3,5.18,12.94
123066001,4,5.18,12.94
123196001,1,7.98,19.94
123196001,2,7.98,19.94
123196001,3,7.98,19.94
123196001,4,7.98,19.94
123196011,1,7.98,19.94
123196011,2,7.98,19.94
123196011,3,7.98,19.94
123196011,4,7.98,19.94
123243011,1,3.58,8.94
123243011,2,3.58,8.94
123243011,3,3.58,8.94
123243011,4,3.58,8.94
123243091,1,3.58,8.94
123243091,2,3.58,8.94
123243091,3,3.58,8.94
123243091,4,3.58,8.94
123243091,99,1.34,7.6
123243271,1,3.58,8.94
123243271,2,3.58,8.94
123243271,3,3.58,8.94
123243271,4,3.58,8.94
123243271,99,1.34,7.6
123243331,1,3.58,8.94
123243331,2,3.58,8.94
123243331,3,3.58,8.94
123243331,4,3.58,8.94
123243331,99,1.34,7.6
123243371,1,3.58,8.94
123243371,2,3.58,8.94
123243371,3,3.58,8.94
123243371,4,3.58,8.94
123243371,99,1.34,7.6
123243401,1,3.58,8.94
123243401,2,3.58,8.94
123243401,3,3.58,8.94
123243401,4,3.58,8.94
123243401,99,1.34,7.6
123243411,1,3.58,8.94
123243411,2,3.58,8.94
123243411,3,3.58,8.94
123243411,4,3.58,8.94
123243411,99,1.34,7.6
123243431,1,3.58,8.94
123243431,2,3.58,8.94
123243431,3,3.58,8.94
123243431,4,3.58,8.94
123243431,99,1.34,7.6
123243441,1,3.58,8.94
123243441,2,3.58,8.94
123243441,3,3.58,8.94
123243441,4,3.58,8.94
123243441,99,1.34,7.6
123243471,1,3.58,8.94
123243471,2,3.58,8.94
123243471,3,3.58,8.94
123243471,4,3.58,8.94
123243481,1,3.58,8.94
123243481,2,3.58,8.94
123243481,3,3.58,8.94
123243481,4,3.58,8.94
123243491,1,3.58,8.94
123243491,2,3.58,8.94
123243491,3,3.58,8.94
123243491,4,3.58,8.94
123243521,1,3.58,8.94
123243521,2,3.58,8.94
123243521,3,3.58,8.94
123243521,4,3.58,8.94
123243601,1,3.58,8.94
123243601,2,3.58,8.94
123243601,3,3.58,8.94
123243601,4,3.58,8.94
123243611,1,3.58,8.94
123243611,2,3.58,8.94
123243611,3,3.58,8.94
123243611,4,3.58,8.94
123279111,1,5.18,12.94
123279111,2,5.18,12.94
123279111,3,5.18,12.94
123279111,4,5.18,12.94
123279111,99,1.94,11
123279131,1,5.18,12.94
123279131,2,5.18,12.94
123279131,3,5.18,12.94
123279131,4,5.18,12.94
123279131,99,1.94,11
123279161,1,5.18,12.94
123279161,2,5.18,12.94
123279161,3,5.18,12.94
123279161,4,5.18,12.94
123279161,99,1.94,11
123279171,1,5.18,12.94
123279171,2,5.18,12.94
123279171,3,5.18,12.94
123279171,4,5.18,12.94
123279171,99,1.94,11
123279181,1,5.18,12.94
123279181,2,5.18,12.94
123279181,3,5.18,12.94
123279181,4,5.18,12.94
123279181,99,1.94,11
123279191,1,5.18,12.94
123279191,2,5.18,12.94
123279191,3,5.18,12.94
123279191,4,5.18,12.94
123279201,1,5.18,12.94
123279201,2,5.18,12.94
123279201,3,5.18,12.94
123279201,4,5.18,12.94
123279211,1,5.18,12.94
123279211,2,5.18,12.94
123279211,3,5.18,12.94
123279211,4,5.18,12.94
123279221,1,5.18,12.94
123279221,2,5.18,12.94
123279221,3,5.18,12.94
123279221,4,5.18,12.94
123552001,1,4.8,12
123552001,2,4.8,12
123552001,3,4.8,12
123552001,4,4.8,12
123761021,1,13.18,32.94
123761021,2,13.18,32.94
123761021,3,13.18,32.94
123761021,4,13.18,32.94
123761031,1,13.18,32.94
123761031,2,13.18,32.94
123761031,3,13.18,32.94
123761031,4,13.18,32.94
123761041,1,13.18,32.94
123761041,2,13.18,32.94
123761041,3,13.18,32.94
123761041,4,13.18,32.94
123761051,1,13.18,32.94
123761051,2,13.18,32.94
123761051,3,13.18,32.94
123761051,4,13.18,32.94
123761051,99,4.94,28
123762011,1,14.78,36.94
123762011,2,14.78,36.94
123762011,3,14.78,36.94
123762011,4,14.78,36.94
123762011,99,5.54,31.4
123762031,1,14.78,36.94
123762031,2,14.78,36.94
123762061,1,14.78,36.94
123762061,2,14.78,36.94
123762061,3,14.78,36.94
123762061,4,14.78,36.94
123786111,1,7.98,19.94
123786111,2,7.98,19.94
123786111,3,7.98,19.94
123786111,4,7.98,19.94
123786111,99,2.99,16.95
123786121,1,7.98,19.94
123786121,2,7.98,19.94
123786121,99,2.99,16.95
123786131,1,7.98,19.94
123786131,2,7.98,19.94
123786131,99,2.99,16.95
123786141,1,7.98,19.94
123786141,2,7.98,19.94
123786141,3,7.98,19.94
123786141,4,7.98,19.94
123786141,99,2.99,16.95
123789001,1,3.98,9.94
123789001,2,3.98,9.94
123789001,3,3.98,9.94
123789001,4,3.98,9.94
123789011,1,3.98,9.94
123789011,2,3.98,9.94
123789011,3,3.98,9.94
123789011,4,3.98,9.94
123789021,1,3.98,9.94
123789021,2,3.98,9.94
123789021,3,3.98,9.94
123789021,4,3.98,9.94
123789041,1,3.98,9.94
123789041,2,3.98,9.94
123789041,3,3.98,9.94
123789041,4,3.98,9.94
123789051,1,3.98,9.94
123789051,2,3.98,9.94
123789051,3,3.98,9.94
123789051,4,3.98,9.94
123789061,1,3.98,9.94
123789061,2,3.98,9.94
123789061,3,3.98,9.94
123789061,4,3.98,9.94
135824001,1,5.18,12.94
135824001,2,5.18,12.94
135824001,3,5.18,12.94
135824001,4,5.18,12.94
135824011,1,5.18,12.94
135824011,2,5.18,12.94
135824011,3,5.18,12.94
135824011,4,5.18,12.94
135824061,1,5.18,12.94
135824061,2,5.18,12.94
135824061,3,5.18,12.94
135824061,4,5.18,12.94
135824061,99,1.94,11
135826001,1,5.18,12.94
135826001,2,5.18,12.94
135826001,3,5.18,12.94
135826001,4,5.18,12.94
135826011,1,5.18,12.94
135826011,2,5.18,12.94
135826011,3,5.18,12.94
135826011,4,5.18,12.94
135826061,1,5.18,12.94
135826061,2,5.18,12.94
135826061,3,5.18,12.94
135826061,4,5.18,12.94
135826061,99,1.94,11
135829001,1,5.18,12.94
135829001,2,5.18,12.94
135829001,3,5.18,12.94
135829001,4,5.18,12.94
135829021,1,5.18,12.94
135829021,2,5.18,12.94
135829021,3,5.18,12.94
135829021,4,5.18,12.94
135829061,1,5.18,12.94
135829061,2,5.18,12.94
135829061,3,5.18,12.94
135829061,4,5.18,12.94
135829061,99,1.94,11
135830001,1,6.78,16.94
135830001,2,6.78,16.94
135830001,3,6.78,16.94
135830001,4,6.78,16.94
135830021,1,6.78,16.94
135830021,2,6.78,16.94
135830021,3,6.78,16.94
135830021,4,6.78,16.94
135830091,1,6.78,16.94
135830091,2,6.78,16.94
135830091,3,6.78,16.94
135830091,4,6.78,16.94
135830091,99,2.54,14.4
138856001,1,3.98,9.94
138856001,2,3.98,9.94
138856001,3,3.98,9.94
138856001,4,3.98,9.94
138856001,99,1.49,8.45
138856011,1,3.98,9.94
138856011,2,3.98,9.94
138856011,3,3.98,9.94
138856011,4,3.98,9.94
138856031,1,3.98,9.94
138856031,2,3.98,9.94
138856031,3,3.98,9.94
138856031,4,3.98,9.94
138856031,99,1.49,8.45
138856041,1,3.98,9.94
138856041,2,3.98,9.94
138856041,3,3.98,9.94
138856041,4,3.98,9.94
138856041,99,1.49,8.45
139942001,1,5.18,12.94
139942001,2,5.18,12.94
139942001,3,5.18,12.94
139942001,4,5.18,12.94
139942001,99,1.94,11
139942011,1,5.18,12.94
139942011,2,5.18,12.94
139942011,3,5.18,12.94
139942011,4,5.18,12.94
139942011,99,1.94,11
139946001,1,5.18,12.94
139946001,2,5.18,12.94
139946001,3,5.18,12.94
139946001,4,5.18,12.94
139946001,99,1.94,11
139946011,1,5.18,12.94
139946011,2,5.18,12.94
139946011,3,5.18,12.94
139946011,4,5.18,12.94
139946011,99,1.94,11
140645011,1,2.38,5.94
140645011,2,2.38,5.94
140645011,3,2.38,5.94
140645011,4,2.38,5.94
140818001,1,13.98,34.94
140818001,2,13.98,34.94
140818001,3,13.98,34.94
140818001,4,13.98,34.94
141019001,1,17.98,44.94
141019001,2,17.98,44.94
141019001,3,17.98,44.94
141019001,4,17.98,44.94
143846051,1,6.78,16.94
143846051,2,6.78,16.94
143846111,1,6.78,16.94
143846111,2,6.78,16.94
143846141,1,6.78,16.94
143846141,2,6.78,16.94
143846141,99,2.54,14.4
143846151,1,6.78,16.94
143846151,2,6.78,16.94
143846151,3,6.78,16.94
143846151,4,6.78,16.94
143846151,99,2.54,14.4
143846161,1,6.78,16.94
143846161,2,6.78,16.94
143846161,3,6.78,16.94
143846161,4,6.78,16.94
143846161,99,2.54,14.4
144007001,1,13.18,32.94
144007001,2,13.18,32.94
144007001,3,13.18,32.94
144007001,4,13.18,32.94
144007001,99,4.94,28
144036021,1,3.18,7.94
144036021,2,3.18,7.94
144036021,3,3.18,7.94
144036021,4,3.18,7.94
144036021,99,1.19,6.75
144038151,1,3.18,7.94
144038151,2,3.18,7.94
144038211,1,3.18,7.94
144038211,2,3.18,7.94
144038221,1,3.18,7.94
144038221,2,3.18,7.94
144038241,1,3.18,7.94
144038241,2,3.18,7.94
144038241,99,1.19,6.75
144038251,1,3.18,7.94
144038251,2,3.18,7.94
144038251,3,3.18,7.94
144038251,99,1.19,6.75
144038261,1,3.18,7.94
144038261,2,3.18,7.94
144038261,99,1.19,6.75
144038271,1,3.18,7.94
144038271,2,3.18,7.94
144038271,3,3.18,7.94
144038271,4,3.18,7.94
144038271,99,1.19,6.75
144038281,1,3.18,7.94
144038281,2,3.18,7.94
144038281,3,3.18,7.94
144038281,4,3.18,7.94
144038281,99,1.19,6.75
144038291,1,3.18,7.94
144038291,2,3.18,7.94
144038291,99,1.19,6.75
144038301,1,3.18,7.94
144038301,2,3.18,7.94
144038301,3,3.18,7.94
144038301,4,3.18,7.94
144038301,99,1.19,6.75
144038311,1,3.18,7.94
144038311,2,3.18,7.94
144038311,3,3.18,7.94
144038311,4,3.18,7.94
144038311,99,1.19,6.75
144038321,1,3.18,7.94
144038321,2,3.18,7.94
144038321,3,3.18,7.94
144038321,4,3.18,7.94
144038321,99,1.19,6.75
144038341,1,3.18,7.94
144038341,2,3.18,7.94
144038341,3,3.18,7.94
144038341,4,3.18,7.94
144038341,99,1.19,6.75
144038351,1,3.18,7.94
144038351,2,3.18,7.94
144038351,3,3.18,7.94
144038351,4,3.18,7.94
144038351,99,1.19,6.75
144038361,1,3.18,7.94
144038361,2,3.18,7.94
144038361,3,3.18,7.94
144038361,4,3.18,7.94
144038361,99,1.19,6.75
144038371,1,3.18,7.94
144038371,2,3.18,7.94
144038371,3,3.18,7.94
144038371,4,3.18,7.94
144038371,99,1.19,6.75
144038381,1,3.18,7.94
144038381,2,3.18,7.94
144038381,3,3.18,7.94
144038381,4,3.18,7.94
144038381,99,1.19,6.75
144188011,1,3.98,9.94
144188011,2,3.98,9.94
144188011,3,3.98,9.94
144188011,4,3.98,9.94
144469001,1,6.78,16.94
144469001,2,6.78,16.94
144469001,3,6.78,16.94
144469001,4,6.78,16.94
144469001,99,2.54,14.4
144469011,1,6.78,16.94
144469011,2,6.78,16.94
144469011,3,6.78,16.94
144469011,4,6.78,16.94
144469011,99,2.54,14.4
144469021,1,6.78,16.94
144469021,2,6.78,16.94
144469021,3,6.78,16.94
144469021,4,6.78,16.94
144469021,99,2.54,14.4
144469031,1,6.78,16.94
144469031,2,6.78,16.94
144469031,3,6.78,16.94
144469031,4,6.78,16.94
144469031,99,2.54,14.4
144469041,1,6.78,16.94
144469041,2,6.78,16.94
144469041,3,6.78,16.94
144469041,4,6.78,16.94
144480001,1,5.98,14.94
144480001,2,5.98,14.94
144480001,3,5.98,14.94
144480001,4,5.98,14.94
144480001,99,2.24,12.7
144480011,1,5.98,14.94
144480011,2,5.98,14.94
144480011,3,5.98,14.94
144480011,4,5.98,14.94
144480011,99,2.24,12.7
144480021,1,5.98,14.94
144480021,2,5.98,14.94
144480021,3,5.98,14.94
144480021,4,5.98,14.94
144480021,99,2.24,12.7
144480031,1,5.98,14.94
144480031,2,5.98,14.94
144480031,3,5.98,14.94
144480031,4,5.98,14.94
144480031,99,2.24,12.7
144480041,1,5.98,14.94
144480041,2,5.98,14.94
144480041,3,5.98,14.94
144480041,4,5.98,14.94
144480041,99,2.24,12.7
144480051,1,5.98,14.94
144480051,2,5.98,14.94
144480051,3,5.98,14.94
144480051,4,5.98,14.94
144480051,99,2.24,12.7
144480061,1,5.98,14.94
144480061,2,5.98,14.94
144480061,3,5.98,14.94
144480061,4,5.98,14.94
144480061,99,2.24,12.7
144572011,1,10.78,26.94
144572011,2,10.78,26.94
144572011,3,10.78,26.94
144572011,4,10.78,26.94
144629121,1,5.98,14.94
144629121,2,5.98,14.94
144629131,1,5.98,14.94
144629131,2,5.98,14.94
144629141,1,5.98,14.94
144629141,2,5.98,14.94
144629151,1,5.98,14.94
144629151,2,5.98,14.94
144629161,1,5.98,14.94
144629161,2,5.98,14.94
144629181,1,5.98,14.94
144629181,2,5.98,14.94
144629181,3,5.98,14.94
144629181,4,5.98,14.94
144629181,99,2.24,12.7
144629191,1,5.98,14.94
144629191,2,5.98,14.94
144629191,3,5.98,14.94
144629191,4,5.98,14.94
144629191,99,2.24,12.7
144629201,1,5.98,14.94
144629201,2,5.98,14.94
144629201,99,2.24,12.7
144901001,1,7.98,19.94
144901001,2,7.98,19.94
144901001,3,7.98,19.94
144901001,4,7.98,19.94
145177021,1,5,12.5
145177021,2,5,12.5
145177021,3,5,12.5
145177021,4,5,12.5
145177021,99,1.88,10.63
145177031,1,5,12.5
145177031,2,5,12.5
145177031,3,5,12.5
145177031,4,5,12.5
145177031,99,1.88,10.63
145177041,1,5,12.5
145177041,2,5,12.5
