PRD_NBR,PRC_STR_GRP_ID_S,DC_NBR,TOT_SLS_UN_QTY
119387091,687,17,311
119387091,687,18,67
119387091,694,14,130
119387091,694,17,566
119387091,713,14,117
119387091,713,17,123
119387091,731,17,51
119387091,731,18,55
119387091,733,17,381
119487091,700,14,37
119487091,700,17,432
119487091,672,14,210
119487091,678,14,483
119487091,678,17,207
119487091,694,14,447
119487091,694,17,1922
119487091,713,14,40
119487091,713,17,309
119487091,733,17,914
119487101,700,14,26
119487101,700,17,319
119487101,672,14,161
119487101,678,14,351
119487101,678,17,146
119487101,694,14,423
119487101,694,17,1392
119487101,713,14,54
119487101,713,17,290
119487101,733,17,873
119487111,700,14,46
119487111,700,17,703
119487111,672,14,355
119487111,678,14,653
119487111,678,17,266
119487111,694,14,700
119487111,694,17,2355
119487111,713,14,98
119487111,713,17,481
119487111,733,17,1451
119487121,700,14,24
119487121,700,17,823
119487121,672,14,344
119487121,678,14,555
119487121,678,17,294
119487121,694,14,548
119487121,694,17,2384
119487121,713,14,49
119487121,713,17,608
119487121,733,17,1451
119487131,700,14,26
119487131,700,17,523
119487131,672,14,213
119487131,678,14,483
119487131,678,17,183
119487131,694,14,496
119487131,694,17,1967
119487131,713,14,49
119487131,713,17,551
119487131,733,17,1121
119487141,700,14,44
119487141,700,17,386
119487141,672,14,176
119487141,678,14,365
119487141,678,17,90
119487141,694,14,300
119487141,694,17,906
119487141,713,14,45
119487141,713,17,352
119487141,733,17,562
119487151,700,14,40
119487151,700,17,363
119487151,672,14,146
119487151,678,14,311
119487151,678,17,105
119487151,694,14,309
119487151,694,17,783
119487151,713,14,48
119487151,713,17,226
119487151,733,17,531
119487161,700,14,4
119487161,700,17,140
119487161,672,14,40
119487161,678,14,92
119487161,678,17,45
119487161,694,14,41
119487161,694,17,559
119487161,713,14,6
119487161,713,17,168
119487161,733,17,442
119487171,700,14,9
119487171,700,17,212
119487171,672,14,64
119487171,678,14,136
119487171,678,17,81
119487171,694,14,77
119487171,694,17,689
119487171,713,14,9
119487171,713,17,280
119487171,733,17,475
119550001,704,14,2524
119550001,704,17,8343
119550001,705,14,564
119550001,705,17,8889
119550001,707,17,4601
119550001,715,14,534
119550001,715,17,1004
119550001,718,14,775
119550001,718,17,1174
119550001,735,14,336
119550001,735,17,976
119550011,704,14,3309
119550011,704,17,5959
119550011,705,14,732
119550011,705,17,8532
119550011,707,17,4208
119550011,715,14,712
119550011,715,17,1196
119550011,718,14,1000
119550011,718,17,942
119550011,735,14,429
119550011,735,17,1001
119551001,704,14,3056
119551001,704,17,6590
119551001,705,14,712
119551001,705,17,6883
119551001,707,17,3945
119551001,715,14,710
119551001,715,17,927
119551001,718,14,980
119551001,718,17,938
119551001,735,14,381
119551001,735,17,961
119551011,704,14,2217
119551011,704,17,5898
119551011,705,14,555
119551011,705,17,6403
119551011,707,17,3295
119551011,715,14,521
119551011,715,17,745
119551011,718,14,791
119551011,718,17,814
119551011,735,14,273
119551011,735,17,722
119551051,704,14,1332
119551051,704,17,1333
