PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
69685,1,7.98,19.94
69685,2,7.98,19.94
69685,3,7.98,19.94
69685,4,7.98,19.94
69685,99,2.99,16.95
10021,1,4.38,10.94
10021,2,4.38,10.94
10021,3,4.38,10.94
10021,4,4.38,10.94
10021,99,1.64,9.3
69071,1,3.4,8.5
69071,2,3.4,8.5
69071,3,3.4,8.5
69071,4,3.4,8.5
69071,99,1.28,7.23
69513,1,3.8,9.5
69513,2,3.8,9.5
69513,3,3.8,9.5
69513,4,3.8,9.5
69513,99,1.43,8.08
68993,1,9.18,22.94
68993,2,9.18,22.94
68993,3,9.18,22.94
68993,4,9.18,22.94
68993,99,3.44,19.5
69351,1,9.98,24.94
69351,2,9.98,24.94
69351,99,3.74,21.2
68965,1,9.98,24.94
68965,2,9.98,24.94
68965,3,9.98,24.94
68965,4,9.98,24.94
68965,99,3.74,21.2
69233,1,9.18,22.94
69233,2,9.18,22.94
69233,3,9.18,22.94
69233,4,9.18,22.94
69233,99,3.44,19.5
69331,1,7.18,17.94
69331,2,7.18,17.94
69331,3,7.18,17.94
69331,4,7.18,17.94
69331,99,2.69,15.25
72475,1,7.98,19.94
72475,2,7.98,19.94
72475,3,7.98,19.94
72475,4,7.98,19.94
72475,99,2.99,16.95
68783,1,5.18,12.94
68783,2,5.18,12.94
68783,3,5.18,12.94
68783,4,5.18,12.94
68783,99,1.94,11
69011,1,13.18,32.94
69011,2,13.18,32.94
69011,3,13.18,32.94
69011,4,13.18,32.94
69011,99,4.94,28
70277,1,5.18,12.94
70277,2,5.18,12.94
70277,3,5.18,12.94
70277,4,5.18,12.94
70277,99,1.94,11
68943,1,5.98,14.94
68943,2,5.98,14.94
68943,99,2.24,12.7
68943,3,5.98,14.94
68943,4,5.98,14.94
10043,1,2.38,5.94
10043,2,2.38,5.94
10043,3,2.38,5.94
10043,4,2.38,5.94
10043,99,0.89,5.05
71151,1,6.78,16.94
71151,2,6.78,16.94
71151,99,2.54,14.4
69237,1,5.98,14.94
69237,2,5.98,14.94
69237,3,5.98,14.94
69237,4,5.98,14.94
69237,99,2.24,12.7
71915,1,4.38,10.94
71915,2,4.38,10.94
71915,3,4.38,10.94
71915,4,4.38,10.94
71915,99,1.64,9.3
72485,1,7.98,19.94
72485,2,7.98,19.94
72485,3,7.98,19.94
72485,4,7.98,19.94
72485,99,2.99,16.95
72215,1,6.78,16.94
72215,2,6.78,16.94
72215,99,2.54,14.4
1007,1,5.18,12.94
1007,2,5.18,12.94
1007,3,5.18,12.94
1007,4,5.18,12.94
595,1,4.38,10.94
595,2,4.38,10.94
595,3,4.38,10.94
595,4,4.38,10.94
595,99,1.64,9.3
69997,1,10.78,26.94
69997,2,10.78,26.94
69997,99,4.04,22.9
70055,1,7.98,19.94
70055,2,7.98,19.94
70317,1,13.18,32.94
70317,2,13.18,32.94
70317,3,13.18,32.94
70317,4,13.18,32.94
70317,99,4.94,28
70331,99,2.99,16.95
70055,3,7.98,19.94
70055,4,7.98,19.94
70055,99,2.99,16.95
72215,3,6.78,16.94
72215,4,6.78,16.94
70327,1,6.78,16.94
70327,2,6.78,16.94
70327,99,2.54,14.4
70263,1,11.8,29.5
70263,2,11.8,29.5
70263,3,11.8,29.5
70263,4,11.8,29.5
72479,1,5.98,14.94
72479,2,5.98,14.94
72479,3,5.98,14.94
72479,4,5.98,14.94
72479,99,2.24,12.7
70591,1,5.18,12.94
70591,2,5.18,12.94
70591,99,1.94,11
70849,1,5.18,12.94
70849,2,5.18,12.94
70849,3,5.18,12.94
70849,4,5.18,12.94
70513,1,11.98,29.94
70513,2,11.98,29.94
70513,3,11.98,29.94
70513,4,11.98,29.94
