PERIOD,PGM_GRP_ID_S,TGT_SELL_THRUT_RAT,MIN_SELL_THRU_RAT,MAX_SELL_THRU_RAT
4,1803,0.946,0.100,0.010
99,1803,0.990,0.010,0.010
2,1809,0.313,0.150,0.010
3,1809,0.343,0.150,0.010
4,1809,0.872,0.100,0.010
2,1811,0.551,0.150,0.010
3,1811,0.635,0.150,0.010
4,1811,0.635,0.100,0.010
99,1811,0.990,0.010,0.010
2,1813,0.997,0.150,0.010
3,1813,0.998,0.150,0.010
4,1813,1.000,0.100,0.010
99,1813,0.990,0.010,0.010
2,1814,0.864,0.150,0.010
3,1814,0.892,0.150,0.010
4,1814,0.916,0.100,0.010
99,1814,0.990,0.010,0.010
2,1825,0.727,0.150,0.010
3,1825,0.661,0.150,0.010
4,1825,0.880,0.100,0.010
99,1825,0.990,0.010,0.010
2,1827,0.502,0.150,0.010
3,1827,0.549,0.150,0.010
4,1827,0.852,0.100,0.010
2,1839,0.724,0.150,0.010
3,1839,0.659,0.150,0.010
4,1839,0.682,0.100,0.010
99,1839,0.990,0.010,0.010
2,1854,0.819,0.267,0.010
3,1854,0.816,0.520,0.010
4,1854,0.843,0.538,0.010
99,1854,0.990,0.010,0.010
2,1875,0.824,0.326,0.010
3,1875,0.841,0.330,0.010
4,1875,0.900,0.100,0.010
99,1875,0.990,0.010,0.010
2,1877,0.730,0.150,0.010
3,1877,0.755,0.150,0.010
4,1877,0.782,0.100,0.010
99,1877,0.990,0.010,0.010
2,1895,0.756,0.150,0.010
3,1895,0.756,0.150,0.010
99,1895,0.990,0.010,0.010
2,1942,0.849,0.238,0.010
3,1942,0.874,0.221,0.010
4,1942,0.898,0.212,0.010
99,1942,0.990,0.010,0.010
2,1949,0.789,0.150,0.010
3,1949,0.788,0.150,0.010
4,1949,0.760,0.100,0.010
2,1953,0.232,0.150,0.010
3,1953,0.274,0.150,0.010
4,1953,0.969,0.100,0.010
2,1956,0.628,0.150,0.010
3,1956,0.679,0.150,0.010
4,1956,0.855,0.100,0.010
99,1956,0.990,0.010,0.010
2,1966,0.742,0.222,0.010
2,2013,0.816,0.150,0.010
3,2013,0.825,0.150,0.010
4,2013,0.893,0.100,0.010
2,2038,0.570,0.150,0.010
2,2059,0.918,0.150,0.010
3,2059,0.931,0.150,0.010
4,2059,0.946,0.100,0.010
99,2059,0.990,0.010,0.010
2,2064,0.674,0.150,0.010
3,2064,0.666,0.150,0.010
4,2064,0.769,0.100,0.010
2,2134,0.813,0.150,0.010
3,2134,0.831,0.150,0.010
4,2134,0.852,0.100,0.010
99,2134,0.990,0.010,0.010
2,2143,0.821,0.150,0.010
3,2143,0.832,0.150,0.010
4,2143,0.871,0.100,0.010
2,2154,0.750,0.150,0.010
3,2154,0.753,0.150,0.010
4,2154,0.819,0.100,0.010
2,2163,0.562,0.150,0.010
3,2163,0.604,0.150,0.010
4,2163,0.790,0.100,0.010
2,2164,0.793,0.150,0.010
3,2164,0.796,0.150,0.010
4,2164,0.873,0.100,0.010
2,2197,0.642,0.150,0.010
3,2197,0.694,0.150,0.010
4,2197,0.751,0.100,0.010
99,2197,0.990,0.010,0.010
2,2201,0.843,0.160,0.010
3,2201,0.863,0.150,0.010
