PGM_GRP_ID_S,PGM_NBR,PRD_NBR
1953,896761,896761171
2013,545332,545332001
2013,545332,545332011
2059,349258,349258001
2143,939215,939215001
2163,636215,636215001
2163,636215,636215011
2197,344870,344870041
2197,344870,344870051
2197,344870,344870061
2201,344856,344856041
2201,344856,344856051
2201,344856,344856061
2201,344856,344856071
2219,174151,174151001
2219,174151,174151011
2223,173083,173083031
2223,173083,173083061
2223,173083,173083071
2223,173083,173083081
2223,173083,173083101
2263,147096,147096071
2263,147096,147096081
2263,147096,147096091
2275,556325,556325011
2277,344961,344961011
2277,344961,344961021
2277,344961,344961031
2287,478849,478849001
2287,478849,478849011
2287,478849,478849021
2347,174165,174165051
2347,174165,174165061
2347,174165,174165101
2347,174165,174165111
2347,174165,174165121
2347,333034,333034041
2347,333034,333034051
2347,333034,333034061
2347,333034,333034071
2347,333034,333034121
2347,333034,333034141
2347,333034,333034171
2347,333034,333034181
2347,674619,674619001
2351,757053,757053011
2351,757053,757053021
2351,757053,757053031
2351,757053,757053051
2353,344739,344739011
2353,344739,344739021
2353,344739,344739031
2357,633926,633926001
2411,173355,173355001
2411,173355,173355011
2411,173355,173355031
2411,173355,173355051
2411,173355,173355061
2421,545329,545329001
2431,348216,348216001
2431,348216,348216011
2485,344083,344083001
2591,342187,342187001
2591,342187,342187011
2591,342187,342187021
2591,342187,342187031
2591,342187,342187061
2591,342187,342187071
2591,342187,342187081
2591,342187,342187091
2591,342187,342187101
2591,342187,342187111
2591,342187,342187131
2591,342187,342187141
2599,342185,342185001
2599,342185,342185011
2599,342185,342185021
2599,342185,342185041
2625,581770,581770031
2625,581770,581770161
2633,344743,344743011
2633,344743,344743021
2633,344743,344743031
2655,173084,173084001
2655,173084,173084081
2655,173084,173084091
2655,173084,173084101
2655,173084,173084131
2655,173084,173084141
2721,605104,605104001
2721,605104,605104011
2721,605104,605104041
2721,735647,735647011
2721,735647,735647021
2749,173311,173311001
2763,369542,369542031
2793,342360,342360001
2797,173363,173363001
2797,173363,173363011
2821,476598,476598001
2821,476598,476598011
2821,476598,476598021
2821,476598,476598031
2869,173102,173102001
10005,342099,342099001
10005,342099,342099011
10005,342099,342099091
10005,342102,342102111
10005,342102,342102131
10005,342102,342102151
10005,342111,342111001
10005,342111,342111011
10005,342111,342111021
10005,342111,342111031
10005,342111,342111071
10005,342111,342111081
10005,342111,342111091
10005,342111,342111101
10005,342111,342111111
10005,342115,342115001
10005,342115,342115011
10005,342115,342115021
10005,342115,342115031
10005,342115,342115041
10005,342115,342115051
10005,342115,342115061
10005,342115,342115071
10005,342115,342115081
10005,342115,342115091
10005,342115,342115101
10005,342115,342115111
10005,342115,342115121
10005,342115,342115131
10005,342115,342115141
10005,342115,342115151
10005,342115,342115161
10005,342115,342115171
10005,342115,342115181
10005,342115,342115191
10005,342115,342115201
10005,342115,342115211
10005,342115,342115221
10005,342115,342115251
10005,342115,342115261
10005,342115,342115311
10005,342115,342115321
10005,773492,773492001
10005,773492,773492011
10005,773492,773492031
10005,773492,773492061
10005,773492,773492091
10005,773492,773492161
10005,773492,773492291
10017,369215,369215021
10017,369215,369215031
10017,369215,369215201
10017,369215,369215211
10017,369215,369215221
10017,369215,369215231
10017,369215,369215271
10017,369215,369215281
10017,369215,369215301
10017,369215,369215321
10017,369215,369215331
10021,173527,173527011
10021,173527,173527041
10021,173527,173527051
10021,173527,173527061
10021,173527,173527071
10043,173649,173649011
10043,173649,173649021
10043,173649,173649031
10043,173649,173649041
10065,346016,346016021
10065,346016,346016031
10065,346016,346016041
10065,346016,346016051
10071,332738,332738001
10071,332738,332738011
10071,332738,332738391
10071,332738,332738471
10071,332738,332738481
10091,172710,172710001
10091,172710,172710011
10091,172710,172710021
10091,172711,172711001
10091,172711,172711011
10091,172712,172712001
10091,172712,172712011
10093,353194,353194001
10093,353194,353194011
10093,353194,353194021
10093,353194,353194041
10093,369705,369705061
10093,369705,369705111
10095,369706,369706001
10095,369706,369706011
10095,369713,369713001
10095,369713,369713011
10095,369721,369721001
10121,369704,369704011
10121,369704,369704021
10121,369704,369704031
10187,677976,677976001
10197,348133,348133001
10197,348133,348133011
10197,348133,348133021
10197,348134,348134001
10197,348141,348141001
10197,348141,348141011
10197,348149,348149001
10227,342084,342084011
10227,342084,342084021
10273,369610,369610001
10273,369610,369610011
10273,369610,369610021
10303,342282,342282001
10303,342282,342282011
38859,369022,369022001
38859,369022,369022011
38859,520166,520166011
38859,520166,520166031
38879,349391,349391001
38879,349391,349391011
38879,349391,349391021
38879,349391,349391041
38879,438322,438322001
38879,438322,438322011
38879,438322,438322021
38879,477724,477724001
38883,344860,344860001
38883,344860,344860011
38887,119084,119084001
38887,119084,119084011
38903,344753,344753021
38903,344753,344753031
38903,344753,344753041
38903,344753,344753051
38903,344753,344753061
38903,344753,344753071
38903,344753,344753081
38903,897050,897050011
38903,897050,897050031
38903,897050,897050051
38903,897050,897050131
38903,897050,897050181
38903,897050,897050191
38903,897050,897050221
38909,952846,952846001
38909,952846,952846031
50695,342176,342176001
50695,342176,342176011
50841,344623,344623001
50841,344623,344623011
50883,342192,342192001
50883,342192,342192011
50983,371130,371130001
50983,371130,371130011
56799,434263,434263001
56799,434263,434263011
56801,434271,434271011
56801,434271,434271021
56803,434274,434274001
56803,434274,434274011
56805,434279,434279021
56805,434279,434279031
56825,438390,438390001
56825,438390,438390011
56885,477621,477621001
56885,477621,477621011
56887,477691,477691011
57077,438001,438001001
57281,434069,434069001
57281,434069,434069011
57337,476574,476574001
57337,476574,476574011
